PrtIdx LigIdx v1 v2 v3 v4 v5 v6 cms ener
0 0 2.010000 2.010000 2.010000 8.040000 8.040000 8.040000 0.199676 3.343659
0 0 2.028223 2.015943 2.023265 8.101089 7.974329 8.027985 0.157786 3.342733
0 0 2.012658 2.023469 2.007964 8.049891 7.924675 8.011896 0.157172 3.345527
0 0 2.014352 2.011993 2.009697 8.077664 7.979305 7.938718 0.159668 3.317504
0 0 2.033136 2.020330 2.004907 8.104910 8.037254 7.868216 0.172203 3.310184
0 0 2.037642 2.010121 2.020847 8.144222 8.026367 7.934268 0.172203 3.316743
0 0 2.028643 2.009006 2.038663 8.193480 8.027883 7.928504 0.177246 3.322355
0 0 2.025290 1.993588 2.037170 8.121531 8.080168 7.947779 0.194694 3.310886
0 0 2.005534 2.010121 2.019996 8.163748 8.045755 7.914887 0.175036 3.300560
0 0 1.995590 1.997581 2.033868 8.103164 8.065177 7.906281 0.194694 3.293333
0 0 1.995106 2.009350 2.019478 8.072585 8.024384 7.852398 0.173603 3.292527
0 0 1.975110 2.024632 2.010689 8.099474 8.039247 7.883950 0.182718 3.282218
0 0 1.982898 2.024339 2.005259 8.069823 8.069849 7.824592 0.184933 3.284097
0 0 2.000462 2.008375 1.990277 8.140311 8.141251 7.813371 0.194694 3.287790
0 0 2.008352 2.014729 1.981905 8.174694 8.130744 7.875366 0.196263 3.287719
0 0 1.990417 2.017429 1.997749 8.234326 8.082925 7.867519 0.172899 3.294325
0 0 1.976063 2.010047 2.010051 8.266669 8.052679 7.910735 0.173603 3.294173
0 0 1.981227 2.023880 2.020933 8.336989 8.081136 7.970702 0.182718 3.297485
0 0 1.968607 2.040720 2.015227 8.295442 8.158904 7.976318 0.192404 3.287453
0 0 1.958671 2.051725 2.010675 8.346611 8.222332 7.977027 0.212197 3.282320
0 0 1.967175 2.050023 2.022111 8.268314 8.299615 8.047562 0.212197 3.298334
0 0 1.973389 2.033221 2.027040 8.274232 8.244741 8.007109 0.213825 3.292813
0 0 1.981746 2.016954 2.032614 8.204520 8.169003 7.985604 0.214651 3.292919
0 0 1.967898 2.025883 2.029318 8.239333 8.183306 8.025970 0.213825 3.288082
0 0 1.962820 2.013623 2.043761 8.219769 8.119159 8.010268 0.214651 3.286183
0 0 1.982382 2.003862 2.055502 8.164926 8.137953 7.993916 0.213007 3.299106
0 0 1.978619 2.006810 2.046909 8.122529 8.121902 8.003212 0.208274 3.302259
0 0 1.998122 1.997291 2.065284 8.147470 8.176262 7.950348 0.216332 3.309625
0 0 2.016634 2.015769 2.058889 8.214661 8.238339 7.979932 0.211396 3.323941
0 0 1.998664 2.021905 2.050984 8.271624 8.216679 7.948447 0.214651 3.309974
0 0 1.992577 2.030632 2.046711 8.300882 8.169374 8.012918 0.213825 3.308093
0 0 1.982038 2.034927 2.047508 8.276834 8.196950 8.005299 0.213007 3.303906
0 0 1.993519 2.029315 2.040436 8.283997 8.159142 8.007327 0.214651 3.305315
0 0 1.975463 2.040298 2.029251 8.266308 8.122845 7.977766 0.193923 3.295370
0 0 1.988498 2.036102 2.018741 8.301297 8.162103 7.976194 0.192404 3.298130
0 0 1.972737 2.038525 2.016594 8.354750 8.170024 8.055492 0.213825 3.288303
0 0 1.958566 2.039328 2.023537 8.306289 8.195775 8.030232 0.211396 3.283583
0 0 1.957894 2.020027 2.005730 8.374516 8.158493 8.033152 0.193923 3.271083
0 0 1.953555 2.016129 1.998792 8.304748 8.084920 8.088964 0.204323 3.266835
0 0 1.934580 2.011937 1.986807 8.319752 8.031190 8.066859 0.182718 3.256777
0 0 1.935732 1.993292 1.989041 8.381150 8.091435 8.007249 0.184933 3.257515
0 0 1.940117 1.975320 1.985901 8.438622 8.103026 7.958169 0.181281 3.255987
0 0 1.927241 1.973614 1.994086 8.426352 8.136084 8.001547 0.194694 3.248294
0 0 1.930418 1.992054 1.982828 8.367682 8.076010 8.052097 0.194694 3.246743
0 0 1.917750 1.975389 1.982050 8.431903 8.102558 8.025043 0.185688 3.243964
0 0 1.908427 1.977550 1.968987 8.382876 8.128639 8.067021 0.194694 3.220092
0 0 1.894701 1.967738 1.976095 8.393922 8.105335 8.110713 0.195474 3.215867
0 0 1.904319 1.982204 1.966318 8.454816 8.153807 8.111160 0.205127 3.222661
0 0 1.901352 1.999839 1.966867 8.383827 8.194395 8.141408 0.212197 3.223094
0 0 1.907373 2.013324 1.951722 8.360047 8.155519 8.158510 0.211396 3.226064
0 0 1.888905 2.007986 1.966970 8.347199 8.163692 8.215370 0.210604 3.231199
0 0 1.896622 2.016734 1.951394 8.360058 8.085959 8.136978 0.209819 3.220689
0 0 1.905344 2.020954 1.934945 8.422825 8.165603 8.115163 0.211396 3.214360
0 0 1.910025 2.007536 1.930051 8.455986 8.233677 8.063054 0.213007 3.216837
0 0 1.918242 2.006384 1.930933 8.534812 8.179696 8.046705 0.200430 3.219660
0 0 1.917075 2.023926 1.910961 8.507250 8.169942 8.098204 0.213007 3.215538
0 0 1.936977 2.026153 1.906918 8.482580 8.205902 8.088140 0.211396 3.224258
0 0 1.949600 2.043003 1.895475 8.423298 8.241280 8.028719 0.209819 3.230130
0 0 1.952513 2.042654 1.891526 8.435258 8.185693 8.098155 0.213007 3.225693
0 0 1.960962 2.051776 1.901577 8.389309 8.143184 8.102065 0.213007 3.240846
0 0 1.961425 2.067099 1.894524 8.315441 8.190207 8.026259 0.212197 3.238787
0 0 1.954208 2.063432 1.892507 8.286259 8.151239 7.960729 0.209043 3.234583
0 0 1.957261 2.052409 1.873451 8.213158 8.209207 7.956453 0.210604 3.230138
0 0 1.952120 2.039466 1.888619 8.228163 8.221937 7.947176 0.209043 3.229272
0 0 1.943225 2.022753 1.871403 8.155282 8.159625 8.014711 0.210604 3.227210
0 0 1.944942 2.039166 1.870053 8.137583 8.178525 7.970647 0.210604 3.227893
0 0 1.953487 2.052382 1.867089 8.082180 8.144325 7.914548 0.198929 3.233335
0 0 1.972871 2.065934 1.861946 8.057169 8.203479 7.838814 0.198190 3.239533
0 0 1.980068 2.081282 1.862033 8.104634 8.146931 7.851207 0.199676 3.244347
0 0 1.996107 2.065945 1.844341 8.117461 8.096004 7.816584 0.190918 3.243671
0 0 1.982803 2.067677 1.855020 8.103876 8.030122 7.736836 0.148504 3.257146
0 0 1.968959 2.082913 1.848325 8.122596 8.099194 7.810909 0.180574 3.236468
0 0 1.967360 2.064841 1.839995 8.108722 8.036296 7.786056 0.148504 3.237998
0 0 1.973242 2.054559 1.824882 8.033142 8.084842 7.707754 0.157786 3.226775
0 0 1.977673 2.054606 1.817155 8.112419 8.129594 7.710979 0.155367 3.225898
0 0 1.992520 2.062557 1.799536 8.191197 8.168596 7.788693 0.176484 3.222562
0 0 1.977541 2.043766 1.805222 8.173511 8.235983 7.715600 0.166891 3.220020
0 0 1.970249 2.062890 1.790896 8.221139 8.291826 7.768777 0.198190 3.214464
0 0 1.951790 2.072501 1.799300 8.155441 8.366608 7.769587 0.173261 3.211257
0 0 1.940215 2.058060 1.803400 8.190910 8.409480 7.757306 0.183933 3.206697
0 0 1.949892 2.059427 1.813125 8.258516 8.357199 7.751899 0.187337 3.210793
0 0 1.940059 2.048335 1.798293 8.262328 8.332947 7.830163 0.197458 3.194201
0 0 1.920693 2.047141 1.810650 8.188344 8.262639 7.764847 0.188038 3.193202
0 0 1.928296 2.037415 1.808100 8.135570 8.222198 7.837703 0.187337 3.187717
0 0 1.925447 2.036333 1.795846 8.102390 8.289129 7.797792 0.173893 3.181772
0 0 1.918001 2.018208 1.800708 8.074231 8.355233 7.799956 0.179182 3.180135
0 0 1.928286 2.015912 1.790013 8.064852 8.276549 7.724560 0.179874 3.177594
0 0 1.913183 2.004929 1.789671 8.070522 8.267652 7.659575 0.166891 3.175864
0 0 1.900851 2.007660 1.787470 7.998552 8.337613 7.721737 0.179874 3.165046
0 0 1.909270 2.007541 1.788794 8.002356 8.320184 7.800276 0.178497 3.173710
0 0 1.908387 2.005336 1.788728 7.989446 8.368107 7.773923 0.193159 3.174344
0 0 1.906481 1.986228 1.806253 8.022427 8.332685 7.818687 0.190187 3.173654
0 0 1.915011 1.982705 1.791330 8.051767 8.300274 7.873659 0.201963 3.174629
0 0 1.898243 1.975098 1.788603 8.027155 8.378468 7.884938 0.203528 3.180415
0 0 1.916475 1.961116 1.786253 8.048221 8.453630 7.832820 0.202741 3.175749
0 0 1.899700 1.945232 1.783736 8.051254 8.405343 7.798020 0.197060 3.151892
0 0 1.889651 1.948780 1.797962 8.127322 8.335770 7.824961 0.179874 3.146547
0 0 1.883379 1.945432 1.805418 8.152123 8.350926 7.873903 0.181996 3.146050
0 0 1.881223 1.925748 1.802428 8.184011 8.290717 7.861137 0.184187 3.138881
0 0 1.878963 1.907793 1.789837 8.215976 8.245294 7.814680 0.183448 3.129675
0 0 1.879078 1.904636 1.780119 8.181523 8.310154 7.871563 0.184933 3.125843
0 0 1.870707 1.888321 1.762540 8.121018 8.333644 7.876499 0.195474 3.111058
0 0 1.855170 1.875669 1.764235 8.072742 8.400833 7.836824 0.196263 3.105682
0 0 1.852878 1.861544 1.782585 8.071592 8.412682 7.823462 0.197867 3.108171
0 0 1.848362 1.843011 1.763821 8.097263 8.450427 7.831492 0.197867 3.098109
0 0 1.843909 1.850448 1.752712 8.091679 8.407022 7.823203 0.197060 3.090171
0 0 1.834951 1.865376 1.741356 8.079865 8.334713 7.831304 0.184187 3.078777
0 0 1.847723 1.856045 1.746273 8.052696 8.371730 7.762591 0.186451 3.089243
0 0 1.843302 1.869615 1.743544 8.059053 8.391955 7.754968 0.184933 3.091064
0 0 1.841736 1.873626 1.736022 7.984261 8.322081 7.698156 0.187223 3.084649
0 0 1.842555 1.876808 1.751859 7.938985 8.245464 7.727849 0.180574 3.083069
0 0 1.843865 1.866113 1.740537 7.960314 8.217385 7.742865 0.181996 3.076608
0 0 1.844455 1.860849 1.739109 7.958286 8.217279 7.665916 0.181996 3.077949
0 0 1.824813 1.871588 1.743493 7.982511 8.259289 7.700348 0.183448 3.072382
0 0 1.826225 1.870484 1.738221 7.980119 8.274090 7.633681 0.183448 3.079485
0 0 1.820976 1.861965 1.727182 8.019266 8.314449 7.653092 0.181996 3.075574
0 0 1.803271 1.850166 1.739370 8.062008 8.257237 7.635870 0.157172 3.068851
0 0 1.793054 1.834895 1.731912 8.030667 8.240534 7.598660 0.157172 3.058542
0 0 1.773974 1.815943 1.727671 8.094965 8.171949 7.559746 0.159034 3.036460
0 0 1.765747 1.801057 1.709179 8.151184 8.165442 7.584879 0.157786 3.020379
0 0 1.775205 1.805435 1.695280 8.186726 8.142977 7.553950 0.158407 3.020896
0 0 1.755671 1.796825 1.675386 8.140182 8.203488 7.560392 0.158407 3.001294
0 0 1.756232 1.807994 1.695181 8.137149 8.178994 7.559116 0.156564 3.012683
0 0 1.756620 1.818374 1.677054 8.080348 8.151361 7.572996 0.159034 3.011041
0 0 1.745750 1.819625 1.677052 8.139056 8.123807 7.634542 0.160309 3.004750
0 0 1.760978 1.838699 1.676041 8.211486 8.122392 7.606536 0.158407 3.015799
0 0 1.766473 1.846732 1.673991 8.206929 8.054011 7.646438 0.161612 3.023308
0 0 1.776368 1.832193 1.674659 8.250069 8.071557 7.601532 0.159668 3.025376
0 0 1.766675 1.837574 1.662667 8.312744 8.077324 7.577245 0.160309 3.017064
0 0 1.774429 1.820886 1.674152 8.351947 8.131097 7.523769 0.149104 3.003585
0 0 1.755908 1.812758 1.680596 8.319633 8.204015 7.513506 0.155963 2.992792
0 0 1.757890 1.821824 1.692801 8.325339 8.259648 7.500700 0.146167 2.998950
0 0 1.742663 1.830473 1.679429 8.390136 8.328762 7.484153 0.137341 2.992957
0 0 1.724958 1.821712 1.696330 8.310805 8.279828 7.487989 0.146167 2.990364
0 0 1.737857 1.811758 1.677229 8.371092 8.273667 7.513151 0.145598 2.975570
0 0 1.751614 1.812763 1.664310 8.410956 8.346313 7.577745 0.160957 2.967622
0 0 1.744738 1.812003 1.656999 8.470600 8.378439 7.588205 0.148504 2.962147
0 0 1.739449 1.803285 1.646547 8.410246 8.440998 7.641253 0.160309 2.944753
0 0 1.728024 1.800483 1.629414 8.341104 8.476149 7.673871 0.184933 2.949162
0 0 1.726872 1.785898 1.617362 8.318390 8.403198 7.633817 0.173603 2.946129
0 0 1.724022 1.790317 1.630316 8.365768 8.394711 7.685059 0.175036 2.944895
0 0 1.742900 1.807814 1.615585 8.371350 8.451380 7.652267 0.170158 2.943720
0 0 1.727659 1.822387 1.628038 8.400253 8.412285 7.626914 0.158407 2.940138
0 0 1.717227 1.807435 1.631146 8.343007 8.356128 7.614074 0.159668 2.948516
0 0 1.725368 1.794528 1.633766 8.369404 8.294738 7.539774 0.157786 2.948989
0 0 1.721178 1.796298 1.645297 8.380569 8.365585 7.610783 0.160309 2.946659
0 0 1.730480 1.786900 1.625889 8.320735 8.355025 7.548325 0.160309 2.949212
0 0 1.732031 1.767068 1.612850 8.378872 8.399795 7.510176 0.149104 2.942065
0 0 1.717177 1.754936 1.593239 8.377076 8.352324 7.526524 0.149104 2.919705
0 0 1.736682 1.752410 1.575439 8.347132 8.371847 7.514482 0.150944 2.923908
0 0 1.719273 1.754296 1.563871 8.407470 8.316887 7.521910 0.147911 2.906327
0 0 1.708904 1.740452 1.573166 8.407159 8.378346 7.592712 0.160957 2.894243
0 0 1.708868 1.726534 1.576271 8.357780 8.340644 7.625988 0.162274 2.902249
0 0 1.720515 1.708169 1.578006 8.380950 8.277424 7.618024 0.161612 2.902534
0 0 1.704602 1.719368 1.575238 8.405663 8.326099 7.624525 0.160309 2.893471
0 0 1.724356 1.720104 1.563940 8.459305 8.346608 7.590675 0.149711 2.892573
0 0 1.719299 1.729876 1.574612 8.451166 8.336807 7.576859 0.147911 2.898802
0 0 1.714944 1.720447 1.579624 8.478441 8.291554 7.654730 0.160957 2.892649
0 0 1.723664 1.714199 1.586809 8.433000 8.335640 7.688292 0.162943 2.899499
0 0 1.722437 1.714481 1.569429 8.446099 8.345901 7.762714 0.162943 2.897310
0 0 1.727340 1.713446 1.552454 8.478715 8.425817 7.705019 0.162274 2.871671
0 0 1.745308 1.730473 1.533754 8.556982 8.381971 7.733293 0.163620 2.870988
0 0 1.750535 1.727249 1.517654 8.616167 8.414309 7.805894 0.174316 2.863858
0 0 1.759591 1.737403 1.519535 8.631112 8.345162 7.747281 0.159668 2.880175
0 0 1.765847 1.749209 1.503994 8.569326 8.408798 7.783382 0.171513 2.870651
0 0 1.748293 1.749496 1.496217 8.559860 8.384043 7.707895 0.162274 2.866730
0 0 1.759488 1.762003 1.492620 8.560102 8.453815 7.762751 0.175764 2.863486
0 0 1.771863 1.755494 1.487075 8.537344 8.459353 7.726074 0.164305 2.866592
0 0 1.768590 1.766335 1.467849 8.507352 8.449095 7.688317 0.162943 2.864446
0 0 1.762383 1.748044 1.477592 8.493174 8.379066 7.625275 0.161612 2.873369
0 0 1.770700 1.728848 1.479089 8.454067 8.412154 7.608605 0.162943 2.874098
0 0 1.760031 1.742301 1.491368 8.440313 8.375845 7.637366 0.162274 2.877505
0 0 1.760771 1.756305 1.472974 8.380486 8.423503 7.577587 0.161612 2.883823
0 0 1.765740 1.760811 1.459920 8.447260 8.434035 7.577868 0.160957 2.878238
0 0 1.768016 1.780620 1.463296 8.507463 8.383265 7.621820 0.160957 2.878217
0 0 1.777219 1.771942 1.454957 8.430143 8.423530 7.578448 0.160309 2.880708
0 0 1.784410 1.783480 1.440761 8.493606 8.403317 7.633027 0.160309 2.873753
0 0 1.773075 1.803052 1.426252 8.516370 8.436219 7.654102 0.160957 2.864254
0 0 1.782398 1.789448 1.423200 8.486387 8.436398 7.687234 0.161612 2.860137
0 0 1.791698 1.773244 1.412559 8.564684 8.388464 7.728104 0.160957 2.859199
0 0 1.785392 1.778130 1.413305 8.546053 8.441566 7.734305 0.162274 2.852641
0 0 1.794780 1.770111 1.421159 8.508643 8.464022 7.704764 0.164305 2.857132
0 0 1.793643 1.783745 1.404675 8.548865 8.496570 7.727908 0.176501 2.853231
0 0 1.783839 1.769436 1.406400 8.578359 8.513875 7.732772 0.176501 2.851495
0 0 1.788500 1.783059 1.415943 8.585158 8.560496 7.728346 0.165698 2.867656
0 0 1.794316 1.766860 1.413564 8.547521 8.617175 7.716286 0.196263 2.863556
0 0 1.783139 1.782523 1.395596 8.495091 8.610544 7.716176 0.195474 2.845831
0 0 1.788853 1.800726 1.381799 8.459497 8.591583 7.674436 0.170158 2.852885
0 0 1.774579 1.795926 1.362211 8.474885 8.586329 7.616910 0.160957 2.857186
0 0 1.763823 1.779517 1.348485 8.499406 8.646111 7.672249 0.193923 2.835173
0 0 1.748380 1.793961 1.359638 8.514634 8.580542 7.654381 0.162274 2.839376
0 0 1.754869 1.786841 1.359505 8.467197 8.529202 7.708159 0.172203 2.828602
0 0 1.769526 1.779375 1.356426 8.462133 8.511347 7.695534 0.171513 2.832992
0 0 1.754611 1.781123 1.341527 8.459220 8.565718 7.711351 0.191658 2.820268
0 0 1.752927 1.785662 1.328549 8.505168 8.573920 7.687678 0.174316 2.818403
0 0 1.740057 1.779458 1.314152 8.547691 8.584984 7.674180 0.164305 2.820150
0 0 1.732360 1.781958 1.324067 8.530910 8.609476 7.688119 0.184187 2.813284
0 0 1.743698 1.773713 1.324789 8.464551 8.608208 7.725112 0.212197 2.806384
0 0 1.729397 1.772935 1.342507 8.407018 8.616611 7.764592 0.220710 2.821209
0 0 1.730543 1.786969 1.340356 8.409160 8.597419 7.706104 0.201192 2.818909
0 0 1.748383 1.781369 1.330958 8.485473 8.568418 7.679805 0.173603 2.816362
0 0 1.750208 1.765767 1.326297 8.558432 8.525489 7.727379 0.163620 2.812677
0 0 1.765080 1.754763 1.309037 8.500524 8.520403 7.756610 0.191658 2.810385
0 0 1.761267 1.768673 1.296391 8.563860 8.474601 7.746957 0.164305 2.809666
0 0 1.766952 1.776671 1.288331 8.542671 8.458037 7.690161 0.149711 2.812964
0 0 1.785066 1.789407 1.277585 8.503650 8.442460 7.712368 0.158407 2.820275
0 0 1.774146 1.771302 1.264050 8.509336 8.478392 7.747985 0.169490 2.808207
0 0 1.791132 1.771018 1.262368 8.572081 8.547116 7.729244 0.162943 2.816202
0 0 1.773883 1.769790 1.264614 8.493298 8.616798 7.752020 0.210604 2.798313
0 0 1.759778 1.777988 1.247512 8.481858 8.542630 7.724597 0.190187 2.794605
0 0 1.750095 1.792495 1.261692 8.534443 8.512016 7.786108 0.190187 2.802976
0 0 1.735934 1.782927 1.244517 8.613416 8.502018 7.827611 0.197060 2.795356
0 0 1.724813 1.764702 1.232984 8.582844 8.494704 7.777633 0.185688 2.778268
0 0 1.735934 1.766137 1.250789 8.595894 8.493905 7.755575 0.162943 2.789089
0 0 1.742766 1.761757 1.234439 8.580405 8.546491 7.710479 0.160957 2.790924
0 0 1.727335 1.742583 1.235976 8.521064 8.523411 7.705896 0.173603 2.771093
0 0 1.732493 1.730248 1.255550 8.593888 8.526804 7.769326 0.175036 2.779762
0 0 1.739100 1.723147 1.260663 8.621594 8.473127 7.739661 0.152205 2.791094
0 0 1.736184 1.742376 1.255407 8.591709 8.442822 7.692028 0.152205 2.794688
0 0 1.741493 1.742086 1.268839 8.652257 8.426017 7.729609 0.163620 2.805392
0 0 1.761481 1.752534 1.274419 8.583810 8.446343 7.801059 0.183448 2.802606
0 0 1.741820 1.741589 1.266524 8.541078 8.453984 7.809248 0.180574 2.796138
0 0 1.756714 1.752437 1.248716 8.547929 8.454593 7.816008 0.180574 2.801057
